"","id","Hotel_Name","Hotel_Country","Hotel_City","Hotel_lat","Hotel_lng","Businesses_100m","Businesses_1km","Businesses_5km","Room_Type_Level","Guest_Type","Trip_Type","Stay_Duration","Review_Date","Days_Since_Review","Is_Hotel_Holiday","Is_Reviewer_Holiday","Total_Number_of_Reviews","Review_Is_Positive","Review_Positivity_Rate","Reviewer_Nationality","Negative_Review","Review_Total_Negative_Word_Counts","Positive_Review","Review_Total_Positive_Word_Counts","Average_Score","Reviewer_Score","Total_Number_of_Reviews_Reviewer_Has_Given","Additional_Number_of_Scoring","Submitted_from_Mobile"
"37628",37640,"Terrass H tel Montmartre by MH","FR","Paris",48.8865626,2.3329648,"28","2900","29700","Classic","Solo traveler","Business trip","3",20160311,"510 day",0,0,707,1,81.8182,"Austria ","My Stay at the Terrass H tel was too short ",12,"Nice and stylished Rooms Great bed with fluffy pillows Super friendly employees even if you do not speak frensh Breakfest was very good with a beautiful view over Paris Perfect for a small walk after arrival in the hotel arround Montmartre and Pigalle One of my nicest stays in a hotel ever ",54,9,9.6,13,81,0
"388131",388143,"Apex City Of London Hotel","GB","London",51.5104624,-0.0795502,"34","2300","13800","Family","Family with young children","Leisure trip","3",20160707,"392 day",0,0,2750,0,17.3913,"Germany ","Even though it was a nice hotel it s not really suited for families with very small children The staff really did their best but both location and facilities were not optimal for baby s toddlers ",38,"Staff was very helpful and friendly ",8,9,6.7,7,623,1
"254418",254430,"Hotel 82 London","GB","London",51.5195857,-0.1584803,"24","1200","19100","NULL","Solo traveler","Business trip","1",20170311,"145 day",0,0,1733,0,0,"United Kingdom ","no external view very hot and air conditioning poor",10,"No Positive",0,7.5,7.5,6,204,0
"328195",328207,"Ayre Hotel Gran V a","ES","Barcelona",41.3732462,2.1474351,"9","877","13300","NULL","Couple","Leisure trip","4",20170411,"114 day",0,0,4887,1,100,"United Kingdom ","No Negative",0,"Breakfast was great",4,8.8,9.2,1,391,1
"145384",145396,"The Queens Gate Hotel","GB","London",51.4981225,-0.1799693,"7","818","14800","Family","Family with older children","Leisure trip","2",20160102,"579 day",0,0,2516,1,100,"Ireland ","No Negative",0,"The hotel was in an excellent location and was very quiet The staff were friendly and very Efficient ",20,8.2,10,1,524,1
"206008",206020,"Hotel du Collectionneur Arc de Triomphe","FR","Paris",48.8769204,2.3069132,"11","2000","24200","Superior","Couple","Leisure trip","1",20170305,"151 day",0,0,1652,1,80.9524,"Serbia ","Nothing in particular",4,"Great hotel in an excellent location compared to similar hotels also a good value for money",17,8.1,10,20,272,0
"47913",47925,"Saint Georges Hotel","GB","London",51.517839,-0.1424476,"67","3700","20100","NULL","Couple","Leisure trip","2",20161219,"227 day",0,0,2092,0,22.2222,"United Kingdom ","Beds very small Breakfast expensive ",7,"Location",2,7.5,7.5,27,368,1
"292641",292653,"TWO Hotel Barcelona by Axel 4 Sup Adults Only","ES","Barcelona",41.37913,2.1561186,"27","2200","13800","NULL","Couple","Leisure trip","3",20151205,"607 day",0,0,2336,0,46.9388,"United Kingdom ","Compare to similar non gay hotels in this area the rooms are overpriced and a bit overrated In particular the breakfast far too expensive ",26,"High quality inventory relatively new facility Good room size Bed okay Quiet location in walking distance to the BCN gay area ",23,8.8,7.5,31,185,0
"236764",236776,"DoubleTree by Hilton Hotel London Tower of London","GB","London",51.5108412,-0.0780581,"23","2200","13400","NULL","Couple","Leisure trip","2",20160823,"345 day",0,0,7491,0,12.5,"United States of America ","The glasses in the room were dirty The rooftop bar had a very unpleasant smell constantly and staff were extremely rude and not helpful or accommodating ",28,"Cookie on arrival",4,8.7,4.6,2,1936,1
"175337",175349,"Fielding Hotel","GB","London",51.5139315,-0.1219893,"60","3500","21300","NULL","Family with young children","Leisure trip","2",20161125,"251 day",0,0,1271,0,45.4545,"United Kingdom ","But of a pain to have to go out for breakfast",12,"So very central to theatreland Could walk everywhere ",10,8.7,8.8,1,294,1
"503920",503932,"Good Hotel London","GB","London",51.5084195,0.0253216,"10","92","2800","NULL","Group","Business trip","2",20170331,"125 day",0,0,1018,0,14.2857,"United Kingdom ","No wardrobe no radio no television very basic for the price Better hotels in the area ",18,"Location good",3,8.1,3.8,1,258,0
"408219",408231,"Hotel Dei Cavalieri","IT","Milan",45.4608547,9.1886179,"36","2100","10800","NULL","Solo traveler","Leisure trip","5",20160210,"540 day",0,0,3445,1,100,"Greece ","No Negative",0,"Very close to Duomo",5,8.4,7.5,1,301,1
"47890",47902,"Saint Georges Hotel","GB","London",51.517839,-0.1424476,"67","3700","20100","NULL","Solo traveler","Business trip","1",20170125,"190 day",0,0,2092,0,0,"Netherlands ","The facility and the rooms are quite old ",10,"No Positive",0,7.5,5.8,1,368,0
"460947",460959,"Ramada Apollo Amsterdam Centre","NL","Amsterdam",52.3681299,4.8440847,"4","170","4900","Standard","Family with older children","Leisure trip","3",20160303,"518 day",0,0,5770,0,37.5,"United Kingdom ","Lighting poor in rooms",5,"Great staff",3,8.2,9.6,2,926,1
"44645",44657,"Mercure London Bloomsbury Hotel","GB","London",51.5210085,-0.1230966,"39","3600","21300","Superior","Couple","Leisure trip","7",20150815,"719 day",0,0,1361,0,34.7826,"Australia ","Room a bit humid air conditioning doesnt work well Bit noisy close to road",15,"Close to everything friendly staff clean ",8,8.3,9.6,8,299,1
"374805",374817,"Alma Barcelona GL","ES","Barcelona",41.3945074,2.1632659,"35","3900","14100","NULL","Group","Leisure trip","1",20160921,"316 day",0,0,593,0,28.5714,"Hong Kong ","The fingerprint door opening facilities did not work ",10,"Overall atmosphere ",4,9.2,9.6,6,87,0
"259006",259018,"Hotel Moonlight","GB","London",51.4940285,-0.1910497,"20","942","11100","NULL","Solo traveler","Leisure trip","3",20170702,"32 days",0,0,617,0,4.34783,"Germany ","Dirty air in the room No wifi poor connection Smart tv could not connect to wifi Paid way too much money for single room I know this to be true as I paid 1 3rd of the price at another hotel which was for a double room with big windows updated furnishings clean air Don t stay at this place it s not worth it",66,"Staff ",3,9,3.3,3,107,1
"169588",169600,"Hilton London Olympia","GB","London",51.4967399,-0.2064723,"7","424","8800","NULL","Family with older children","Leisure trip","2",20160402,"488 day",0,0,1786,0,0,"United Kingdom ","Bathroom plumbing poor also room not as clean as I would have expected",14,"No Positive",0,7.4,6.3,1,438,1
"293823",293835,"Hotel Barcelona Catedral","ES","Barcelona",41.384829,2.1751277,"52","4000","13800","NULL","Family with older children","Leisure trip","4",20160504,"456 day",0,0,2695,1,55.5556,"United Kingdom ","Pillows not comfortable No extractor fan in bathroom Hairdryer in bathroom",12,"Location very central In city within walking distance of beach Staff friendly Rooms spacious",15,8.9,8.8,1,387,1
"60565",60577,"Clayton Crown Hotel London","GB","London",51.5561548,-0.2141824,"22","138","6800","Business","Group","Business trip","2",20161218,"228 day",0,0,2491,0,35.2941,"United States of America ","Location And you can t do much about that ",11,"The Pub and breakfast ",6,8,7.9,1,512,0
"156081",156093,"Norfolk Towers Paddington","GB","Paddington",51.5162883,-0.1721078,"52","667","16500","NULL","Family with older children","Leisure trip","2",20160726,"373 day",0,0,4065,0,2.45399,"Kuwait ","Basically every things was bad I already paid for non refundable reservation from 27 July to 4 of August around 900 KWD however I will never show up and live the bad experience in this hotel again bad location bad tinny rooms bathrooms person can t go inside the bathroom either to keep the door open or to negotiatate with the door to go inside and close it a lot of stains on the carpet although the room booked with breakfast however this will not include cooked items as you will be charged with extra price The lift was out of services all the time hotel gust need to carry their luggage to the upper floor without any assistant from hotel staff I can t imagin that they let a leady with her young daughter to carry their larg bags to their rooms in a very unsafe wood stairs without any help from people in the front desk",159,"Nothing at all",4,7.9,3.3,15,634,1
"464010",464022,"The May Fair Hotel","GB","London",51.5078943,-0.1436707,"47","3800","20100","Superior","Family with older children","Business trip","2",20160525,"435 day",0,0,1994,1,55,"Nigeria ","Small reception toilet on the basement level ",9,"Lovely central location Great decor Excellent food courteous service ",11,8.4,9.2,3,581,0
"23622",23634,"Pullman London St Pancras","GB","London",51.5286766,-0.1283489,"16","2200","20700","Deluxe","Couple","Leisure trip","2",20170506,"89 days",0,0,3168,0,33.3333,"United Kingdom ","Scrambled egg not too good",6,"Friendly staff",3,8.9,7.5,7,728,1
"472203",472215,"Hotel Regina","IT","Milan",45.459485,9.179511,"41","2000","10600","NULL","Couple","Leisure trip","1",20160916,"321 day",0,0,285,1,91.5663,"United States of America ","Cordial but not warm staff ",7,"The Hotel Regina is beautifully kept and decorated in a more traditional Italian style Our room reeked of cigarette smoke however the staff immediately changed our room to the 5th Floor The second room was excellent and looked over a quaint courtyard The location is perfect near the Duomo and excellent restaurants The breakfasts were ample and delicious with beautiful service in the downstairs dining room We would definitely return when staying in Milan ",76,8.4,7.9,4,23,0
"505927",505939,"Park Plaza Westminster Bridge London","GB","London",51.5009609,-0.1165913,"16","1700","21900","Studio","Solo traveler","Leisure trip","2",20170619,"45 days",0,0,12158,1,100,"United Kingdom ","No Negative",0,"Views of Houses of Parliament are excellent Staff are very helpful ",13,8.7,8.8,11,2623,0
"38503",38515,"Best Western Mornington Hotel Hyde Park","GB","Paddington",51.5119933,-0.1782794,"19","729","15100","NULL","Solo traveler","Leisure trip","1",20170712,"22 days",0,0,2418,0,8.88889,"United Kingdom ","There was a cock up with the room booking I was given the room of someone who had already checked in earlier in the day and it only come to light when we returned after the Hyde Park concert ",41,"Good breakfast ",4,8,7.5,2,440,0
"316761",316773,"Holiday Inn London Wembley","GB","London",51.5590955,-0.284704,"4","554","2700","NULL","Group","Leisure trip","1",20170706,"28 days",0,0,3469,0,12.5,"United Kingdom ","First room had a dirty shower and the replacement room had hair on the bed coverings Checkin staff on night were arrogant like they were doing us a massive favour checking us in ",35,"Breakfast was decent ",5,8.3,4.6,1,1005,1
"136400",136412,"Relais Saint Jacques","FR","Paris",48.8430523,2.3422519,"25","2600","30100","Classic","Couple","Leisure trip","2",20160211,"539 day",0,0,519,1,100,"United Kingdom ","No Negative",0,"Bed extremely comfortable property recently renovated quiet small and well positioned Highly recommended ",15,8.7,9.6,24,61,0
"71630",71642,"Bulgari Hotel London","GB","London",51.5015721,-0.1628511,"24","948","19100","Deluxe","Couple","Leisure trip","2",20160627,"402 day",0,0,169,1,57.2519,"United Kingdom ","Don t make the mistake I did of nibbling a chocolate bar from the mini bar before checking the price 5 for a Kinder Beuno Be prepared to spend a lot of money if visiting the hotel restaurant the food is good but not the best I ve had but the service is excellent ",56,"If you re after luxury this is the place the staff can t do enough for you Three different choices of pillow very comfortable bed and blackout curtains allow a wonderful sleep Beautiful en suite All the little extras you can imagine Fresh cookies actually free proper slippers bath robes hair towels candles bath salts lotions and potions galore Even left me a book mark when I left my book beside the bed ",75,9.3,9.6,1,62,1
"2765",2777,"The Park Grand London Paddington","GB","London",51.5142184,-0.1809032,"14","838","14200","NULL","Couple","Leisure trip","1",20150825,"709 day",0,0,4380,0,0,"South Africa ","Despite 21 days ill health notice the hotel would not consider changing our reservation to another date and our full nights accommodation was forfeited",25,"No Positive",0,7.7,2.5,4,1058,0
"454247",454259,"Hilton London Canary Wharf","GB","London",51.5007324,-0.01655,"5","442","4300","NULL","Couple","Leisure trip","3",20170620,"44 days",0,0,3040,1,57.1429,"Hong Kong ","Nothing to fault at all Perhaps it could do a notch higher by providing disposable slippers and dental kit ",21,"Very clean Liked the large bed mattress and pillows An excellent spotless bathroom and loved the thick plush towels Plenty of wardrobe space and excellent staff ",28,9,9.2,1,974,1
"51488",51500,"H tel Madison by MH","FR","Paris",48.8531641,2.3344097,"94","3400","30100","NULL","Group","Leisure trip","3",20160113,"568 day",0,0,478,1,100,"Brazil ","No Negative",0,"Possibility of going in and out so easily",9,8.8,8.3,5,59,1
"53298",53310,"Hilton London Paddington","GB","Paddington",51.515632,-0.175737,"51","632","15700","Family","Family with young children","Leisure trip","4",20150804,"730 day",0,0,2898,0,30,"Saudi Arabia ","Old hotel unfriendly staff uncomfortable bed",7,"Location cleanless",3,8.2,7.1,19,687,1
"302141",302153,"Holiday Inn London Bloomsbury","GB","London",51.5241248,-0.1258066,"49","3700","21000","NULL","Family with older children","Leisure trip","8",20150830,"704 day",0,0,2995,0,33.3333,"Monaco ","Not well cleaned",4,"Location",2,8.2,6.7,4,709,1
"176749",176761,"The Soho Hotel","GB","London",51.5139805,-0.1337948,"102","5200","20500","Superior","Solo traveler","Leisure trip","2",20170802,"1 days",0,0,385,1,73.6842,"New Zealand ","Could have some draft beer in the bar ",10,"Modern chic but cosy Staff are terrific Rooms impressive Been on the road for two months and this is the best hotel I ve stayed in ",28,9.5,9.6,12,107,0
"357232",357244,"De Vere Devonport House","GB","London",51.480672,-0.0071375,"7","268","3900","NULL","Group","Leisure trip","2",20170628,"36 days",0,0,1827,1,53.5714,"United Kingdom ","The lifts were busy The shower was over the bath having had a knee replacement it s harder to get in and out of ",26,"The beds were very comfortable It was good value for money as it included breakfast A fan was provided in the room The staff ver friendly and helpful ",30,8.2,8.3,3,484,1
"442080",442092,"Copthorne Tara Hotel London Kensington","GB","London",51.499046,-0.1917073,"4","1100","10900","NULL","Couple","Leisure trip","2",20160216,"534 day",0,0,7105,0,5.88235,"United Kingdom ","Very busy when we stayed Lifts not operating properly at breakfast time due to volume of guests using them No stairs so all guest having to use lifts A two hour wait for breakfast from 9am we decided to go elsewhere despite having paid for breakfast ",48,"Comfy bed",3,8.1,5.8,2,1831,1
"342761",342773,"Radisson Blu Style Hotel Vienna","AT","Vienna",48.2101211,16.3655537,"55","2700","10400","NULL","Family with young children","Leisure trip","3",20160914,"323 day",0,0,1189,0,42.8571,"United Arab Emirates ","Poor breakfast menu",4,"Good location",3,8.4,7.5,8,157,1
"304290",304302,"Hotel Galileo","IT","Milan",45.4642651,9.1960569,"48","1500","10700","NULL","Couple","Leisure trip","2",20160827,"341 day",0,0,1503,0,12.5,"Egypt ","The air conditioner every time have problem and no WI FI is working",14,"Nothing",2,7.9,5,3,107,1
"26759",26771,"The Grosvenor","GB","London",51.4956657,-0.1452793,"51","1300","20200","NULL","Couple","Leisure trip","1",20160413,"477 day",0,0,3274,1,51.7544,"United Kingdom ","The meal in the Grosvenor Arms could have been better and the cocktail bar is far too expensive for the drinks you end up with Having a secret gratuity added to the bills for both of these therefore was not really appreciated I don t mind tipping but only when it s deserved ",55,"The executive double room was enormous and the rainfall shower was a dream to use The whole hotel feels very opulent and expensive and the location is absolutely perfect The hotel wasn t cheap to book but where in London is And you do at least get what you pay for here it s a lovely hotel ",59,8.4,9.2,7,838,0
"165667",165679,"Strand Palace Hotel","GB","London",51.5110993,-0.1208673,"76","3300","21400","NULL","Couple","Leisure trip","2",20151225,"587 day",0,0,9568,0,0,"Canada ","Description was cosy double room Should have said tiny double room Too expensive for what it was Second time we have stayed here Would not book this hotel again ",31,"No Positive",0,8.1,7.5,2,2288,1
"149476",149488,"Park Grand London Kensington","GB","London",51.4938468,-0.1917582,"23","915","10900","NULL","Couple","Leisure trip","3",20160816,"352 day",0,0,4660,1,100,"New Zealand ","No Negative",0,"Staff were courteous and friendly they would go out of there way to help Excellent location very close to the tube station Quite location with well presented rooms ",30,8.4,10,3,989,1
"138674",138686,"Henley House Hotel","GB","London",51.4922348,-0.1914229,"24","923","11100","NULL","Solo traveler","Leisure trip","1",20150909,"694 day",0,0,1179,0,31.0345,"United Kingdom ","Evening receptionist kept us waiting 10 minutes when we arrived at 22 30 feeling very tired after travelling ",20,"Location quality of room fittings breakfast morning receptionist",9,8.6,7.9,19,137,0
"91385",91397,"The Trafalgar Hilton","GB","London",51.507374,-0.129135,"21","4800","20600","NULL","Couple","Leisure trip","2",20160927,"310 day",0,0,784,1,54.1667,"United Kingdom ","expensive on roof but you are paying for the view",11,"Quality room staff very helpful food very good roof bar a treat",13,8.1,10,4,169,0
"143043",143055,"Blakemore Hyde Park","GB","London",51.5129736,-0.1837431,"18","868","13300","NULL","Couple","Leisure trip","4",20150813,"721 day",0,0,6596,0,50,"United Kingdom ","ASKED FOR SHAVER POINT TO BE REPAIRED IT WAS NOT",11,"LOCATION IS GOOD FOR ACCESS TO TUBE AND HYDE PARK",11,8.5,7.5,4,1198,0
"497788",497800,"NH Carlton Amsterdam","NL","Amsterdam",52.3663727,4.8930505,"63","4000","9500","NULL","Couple","Leisure trip","1",20160623,"406 day",0,0,4231,0,12.9032,"Germany ","Hotel badly in need of a refurb Staff that I encountered were lacking at best The breakfast they change 17 50 for was an insult ",27,"Awesoem location ",4,7,5,5,589,1
"191561",191573,"Millennium Hotel London Mayfair","GB","London",51.510574,-0.1509951,"22","2100","19800","Standard","Solo traveler","Business trip","2",20151012,"661 day",0,0,3117,1,100,"Singapore ","No Negative",0,"Excellent service during my short stay ",8,7.8,7.9,1,806,0
"400336",400348,"Majestic Hotel Spa Barcelona GL","ES","Barcelona",41.3935179,2.1639813,"46","4000","14100","Art","Couple","Leisure trip","3",20160105,"576 day",0,0,1769,0,36.3636,"United States of America ","the apartment was not cleaned everyday",7,"location was great",4,8.9,7.5,4,337,0
"368295",368307,"Best Western Blue Tower Hotel","NL","Amsterdam",52.3793659,4.8457179,"9","185","5300","NULL","Family with young children","Leisure trip","2",20170328,"128 day",0,0,3869,0,17.1429,"United States of America ","The hotel was being remodeled so it was difficult to get around inside the hotel due to old and new furniture being in the lobby and halls ",29,"The hotel was nice overall",6,7.4,7.9,1,587,0
"166223",166235,"Strand Palace Hotel","GB","London",51.5110993,-0.1208673,"76","3300","21400","NULL","Couple","Leisure trip","3",20170411,"114 day",0,0,9568,0,15.3846,"United Kingdom ","Small room broken lifts view from bedroom window see photo",11,"Location",2,8.1,5.5,1,2288,1
"104166",104178,"Le Meridien Piccadilly","GB","London",51.5094835,-0.1362538,"85","4600","20400","Classic","Couple","Leisure trip","1",20160830,"338 day",0,0,817,1,70,"United Kingdom ","Better general maintenance of bathrooms",6,"The breakfast in the club room was simple but well provided and good",14,7.6,7.9,1,146,1
"457662",457674,"The Tower A Guoman Hotel","GB","London",51.5064721,-0.0716893,"13","1200","12000","NULL","Couple","Leisure trip","1",20170706,"28 days",0,0,3486,0,41.0256,"United Kingdom ","Smallest room ever at this hotel and highest price ever Not a good outcome Probably book another way on next stay ",23,"Great lOcation and car parking Hotel is fine and it s staff are helpful ",16,8.6,7.1,3,950,1
"442778",442790,"Copthorne Tara Hotel London Kensington","GB","London",51.499046,-0.1917073,"4","1100","10900","NULL","Family with young children","Leisure trip","2",20170305,"151 day",0,0,7105,0,0,"Singapore ","Wifi unstable",3,"No Positive",0,8.1,7.5,2,1831,0
"361882",361894,"Hilton London Wembley","GB","London",51.5576962,-0.2835263,"11","554","2800","Family","Family with older children","Leisure trip","1",20160214,"536 day",0,0,4305,0,23.8095,"United Kingdom ","The biscuits in the room all contained nuts being someone who has a nut allergy this is not accounted for Maybe a choice is something that could be looked into ",32,"Breakfast was amazing service friendly couldn t fault it",10,8.8,9.6,1,1427,1
"358544",358556,"K K Hotel Maria Theresia","AT","Vienna",48.2031622,16.3561999,"57","2300","10400","NULL","Group","Leisure trip","2",20151031,"642 day",0,0,3181,1,97.2222,"Hong Kong ","NIL",2,"We stayed for 3 nights the room was clean and location was good and quiet away from the traveller s area but close to the tube station and even walkable distance to St Stephen plaza around 15 20 mins and worth to walk along to feel the Vienna The breakfast was super nice you may need to spend more time in the restaurant before you start the day ",70,8.7,9.2,21,285,1
"297411",297423,"Room Mate Anna","ES","Barcelona",41.3929366,2.1653954,"53","4100","14000","NULL","Couple","Leisure trip","1",20161012,"295 day",0,0,1286,1,54.5455,"Lithuania ","Room was to small",5,"Room super Location super ",6,9.1,10,10,124,1
"205602",205614,"Golden Tulip Washington Opera","FR","Paris",48.866242,2.3373169,"101","4800","30200","Classic","Solo traveler","Business trip","1",20150930,"673 day",0,0,542,0,11.7647,"United Kingdom ","facility was not so good room was cold and the bed was not comfortable it was double room but two separate twin beds that I could not combine ",30,"location was good",4,8.3,5,5,62,0
"339171",339183,"WestCord Fashion Hotel Amsterdam","NL","Amsterdam",52.357655,4.844576,"4","241","5000","NULL","Group","Leisure trip","4",20170115,"200 day",0,0,5236,1,65.7658,"United Kingdom ","The hotel offer a 45 offer to be upgraded robes late checkout etc and I feel this should be information offered at check in time Just a small piece of advice not a complaint at all ",38,"Beautiful hotel Clean all mod cons and lovely staff Tram stop 5 min walk away where they run into centre every 3 5 mins Takes about 10 20 mins to get to attractions Skybar at the top of the hotel is lovely and the view is amazing Cocktails good too We liked staying a little further out of the centre and this was perfect for us Would highly recommend this hotel ",73,8.7,9.6,9,757,1
"255433",255445,"Best Western Plus Seraphine Hammersmith Hotel","GB","London",51.4926269,-0.2288598,"12","581","6400","NULL","Solo traveler","Business trip","1",20161226,"220 day",0,0,1717,0,6.41026,"Finland ","My room was smelling of mildew and the bed covers had a very caustic smell I must admit I stayed there but if I had another option I would found another hotel I had a terrible headache in the morning and noted that it left after a time once I was away from the room Reception staff were also very off putting Must admit it did not give a welcoming feeling ",73,"Location to some degree",5,7.8,2.9,13,390,1
"65501",65513,"Britannia International Hotel Canary Wharf","GB","London",51.5019097,-0.0232208,"7","447","4700","Standard","Solo traveler","Business trip","7",20160112,"569 day",0,0,9086,0,31.9149,"Switzerland ","It is an old cheap 4 stars hotel Decoration is dated the gym is terrible my room had dirty windows in the exterior Awful breakfast Location is very good though ",32,"The location is great easy access to public transportation and Canary Wharf Mall ",15,7.1,5,18,2682,0
"168162",168174,"Strand Palace Hotel","GB","London",51.5110993,-0.1208673,"76","3300","21400","Standard","Couple","Business trip","1",20151129,"613 day",0,0,9568,1,100,"United Kingdom ","No Negative",0,"very nice hotel nr to covent garded",8,8.1,9.6,3,2288,0
"285535",285547,"Catalonia Plaza Catalunya","ES","Barcelona",41.3865289,2.1682919,"60","4300","14000","NULL","Group","Leisure trip","3",20160830,"338 day",0,0,4153,0,0,"United Kingdom ","On 2 occasions there was milk in the room ",11,"No Positive",0,8.6,4.6,1,434,1
"260203",260215,"Hotel Le Sainte Beuve","FR","Paris",48.8438998,2.3294858,"51","2600","29900","Standard","Solo traveler","Leisure trip","1",20160602,"427 day",0,0,143,0,28.2051,"United Kingdom ","Showers are really weak and I do think the breakfast is too expensive I do think it is a bit pricey for the room size etc ",28,"The beds are really comfortable and the rooms really elegant",11,8.9,8.3,9,22,1
"25935",25947,"Ace Hotel London Shoreditch","GB","London",51.5254162,-0.0772849,"50","2200","13300","NULL","Group","Leisure trip","1",20161213,"233 day",0,0,1593,1,100,"United Kingdom ","No Negative",0,"Excellent service Extra comfy beds and pillows As a fan of design I can really appreciate this hotel Will definitely stay again ",24,8.6,9.6,2,404,1
"76201",76213,"Park Plaza London Riverbank","GB","London",51.4913737,-0.1214194,"6","773","21300","Superior","Couple","Leisure trip","3",20160209,"541 day",0,0,4684,0,33.3333,"United Kingdom ","Beds dipped in the middle need renewed Room far too hot air conditioning not working",16,"Good location Staff were friendly and helpful",8,8.3,6.3,3,1195,0
"352025",352037,"Fleming s Selection Hotel Wien City","AT","Vienna",NA,NA,"NULL","NULL","NULL","NULL","Couple","Leisure trip","1",20151221,"591 day",0,0,3672,0,0,"Hungary ","Parking",2,"No Positive",0,8.3,8.8,21,333,0
"51728",51740,"Mercure London Paddington Hotel","GB","Paddington",51.5161139,-0.1749521,"43","633","15900","Standard","Couple","Leisure trip","1",20151025,"648 day",0,0,1458,0,17.8571,"United Kingdom ","Very small room but adequate just Tiny bar downstairs where they couldn t offer coffee as they don t have milk ",23,"Location Friendly and helpful",5,7.6,7.9,17,317,1
"263784",263796,"Holiday Inn London Kensington Forum","GB","London",51.4942305,-0.1851141,"6","846","12900","NULL","Couple","Leisure trip","5",20160116,"565 day",0,0,3867,0,25,"Finland ","Sliding bathroom doors hard work Difficult to adjust heating ventilation ",12,"Location restaurant price",4,7.8,9.6,5,854,0
"126822",126834,"Bentley London","GB","London",51.4928147,-0.1841753,"4","849","13300","NULL","Group","Leisure trip","3",20170201,"183 day",0,0,486,0,6.40394,"United Kingdom ","The cooked breakfast served in the room was old cold and unappetising Cold plates and covers The manager s response was to tell me he would have a word with the chef It still cost me 54 for two people The last night in the hotel an annual service check was carried out on the water system No water a bottle of water was left for drinks in the room in the bathroom from 10 30pm to 3am The noise of the water running through the system went on from 10 40pm to 1 30am It prevented sleep reading and was continuous and disturbing for almost 3 hours We were notified of the annual check by a letter left in the room which we saw when we returned at 8pm When I checked out of the hotel the following day and spoke to the manager about it I was told it had to be checked annually and he would put me complaint on my hotel profile I asked why if this was the case guests were not told when booking He did not have an answer Very unsatisfactory ",190,"The room was very comfortable and the area excellent for museums ",13,8.4,6.7,2,143,0
"265066",265078,"Best Western Amiral Hotel","FR","Paris",48.8252307,2.3569005,"13","922","28100","NULL","Couple","Couple","4",20170707,"27 days",0,0,1173,1,100,"United States of America ","No Negative",0,"We chose the property because of the parking We loved the location It was half a block from the metro that goes straight to the Louvre near lots of restaurants a nice wide street and best of all the front desk staff was always so nice and helpful There is also a street market right in front of the hotel two days a week Thursdays and Saturdays It s really a great place and I would stay there again We came back two more times and it was our favorite hotel ",93,7.5,10,2,58,0
"123124",123136,"Novotel Paris Vaugirard Montparnasse","FR","Paris",48.8399018,2.3031011,"14","1000","22400","Family","Family with young children","Leisure trip","2",20150813,"721 day",0,0,1313,1,100,"United Kingdom ","No Negative",0,"Your breakfast staff are doing a great service even under pressure because seems like visitors tend to all come between 9 10am but as a family of 4 with 2 young kids we had the best breakfast and best service attention so a big congratulations to that team the receptive staff were also helpful and professional and from a happy Mr Shankar family ",65,7.6,9.6,2,143,1
"99710",99722,"Mercure Paris Centre Tour Eiffel","FR","Paris",48.8548641,2.2923181,"7","1300","17400","Privilege","Couple","Leisure trip","1",20161121,"255 day",0,0,2611,1,100,"United Kingdom ","No Negative",0,"Not so comfy bed Misleading as advertised as room with Eiffel view Disappointed with it Coffee machine though available wasn t working but fixed just before checkout ",29,8,5.8,1,333,1
"169594",169606,"Hilton London Olympia","GB","London",51.4967399,-0.2064723,"7","424","8800","NULL","Couple","Leisure trip","1",20160327,"494 day",0,0,1786,1,78.2609,"United Kingdom ","It was just excellent",5,"Very friendly staff couldn t do enough for you I will definitely book with Hilton hotels again",18,7.4,10,3,438,1
"456124",456136,"WestCord Art Hotel Amsterdam 4 stars","NL","Amsterdam",52.3924898,4.8683822,"3","163","8800","Suite","Couple","Leisure trip","3",20160409,"481 day",0,0,1712,1,100,"Ireland ","No Negative",0,"Although it s not right in the centre the no 22 bus stops right outside the hotel So easy to get to and from centre this way 5 mins The rooms are clean comfortable and worth the money paid Would definitely stay here again ",46,8.5,9.2,3,252,1
"200109",200121,"Novotel London Wembley","GB","London",51.5611271,-0.2787261,"4","581","2800","Executive","Family with young children","Leisure trip","1",20160621,"408 day",0,0,2924,0,42,"United Kingdom ","I appreciate supply and demand principle but for just me and my 2 kids it was expensive Serving my chilled white wine in a plastic glass no ",29,"Location great Room was excellent for single mum and 2 teenagers Very clean Staff gave great service at check in",21,8.9,8.8,1,832,1
"228103",228115,"The Piccadilly London West End","GB","London",51.5121957,-0.1318384,"226","5200","20700","NULL","Family with young children","Leisure trip","1",20170303,"153 day",0,0,2298,1,58.4507,"United Kingdom ","The rooms are very small including the bathroom which doesn t even have anywhere to hang towels I draped the hand towel over the shaving mirror The rates vary depending on demand so it can be very expensive for what it is Next time I ll choose when I go according to price if at all possible ",59,"The location is second to none So handy for theatres bars Covent Garden Picadilly Circus Leicester Sq and the Underground The staff are very courteous and friendly The beds are really comfortable and the rooms to the back are quiet considering the hotel is in such a busy area There s lots of extras in the rooms including scales fresh fruit water and we had a lovely wee box of chocolates waiting for us on arrival Plus a glass of Prosecco ",83,9,8.3,11,531,0
