"Hotel_Name","Hotel_Country","Hotel_City","Hotel_lat","Hotel_lng","Businesses_100m","Businesses_1km","Businesses_5km","Room_Type_Level","Guest_Type","Trip_Type","Stay_Duration","Review_Date","Days_Since_Review","Is_Hotel_Holiday","Is_Reviewer_Holiday","Total_Number_of_Reviews","Review_Is_Positive","Review_Positivity_Rate","Reviewer_Nationality","Average_Score","Reviewer_Score","Total_Number_of_Reviews_Reviewer_Has_Given","Additional_Number_of_Scoring","Submitted_from_Mobile"
"Best Western Plus Seraphine Hammersmith Hotel","Gran Bretaña","London",51.4926269,-0.2288598,"15","188","209","Other","Solo traveler","Business trip",1,2016-12-26,220,"No","No",1717,"No",6.41026,"Finland ",7.8,2.9,13,390,"Yes"
"Britannia International Hotel Canary Wharf","Gran Bretaña","London",51.5019097,-0.0232208,"95","145","192","Standard","Solo traveler","Business trip",7,2016-01-12,569,"No","No",9086,"No",31.9149,"Switzerland ",7.1,5,18,2682,"No"
"Strand Palace Hotel","Gran Bretaña","London",51.5110993,-0.1208673,"102","105","111","Standard","Couple","Business trip",1,2015-11-29,613,"No","No",9568,"Yes",100,"United Kingdom ",8.1,9.6,3,2288,"No"
"Catalonia Plaza Catalunya","España","Barcelona",41.3865289,2.1682919,"85","139","41","Other","Group","Leisure trip",3,2016-08-30,338,"No","No",4153,"No",0,"United Kingdom ",8.6,4.6,1,434,"Yes"
"Hotel Le Sainte Beuve","Francia","Paris",48.8438998,2.3294858,"75","77","173","Standard","Solo traveler","Leisure trip",1,2016-06-02,427,"No","No",143,"No",28.2051,"United Kingdom ",8.9,8.3,9,22,"Yes"
"Ace Hotel London Shoreditch","Gran Bretaña","London",51.5254162,-0.0772849,"74","62","33","Other","Group","Leisure trip",1,2016-12-13,233,"No","No",1593,"Yes",100,"United Kingdom ",8.6,9.6,2,404,"Yes"
"Park Plaza London Riverbank","Gran Bretaña","London",51.4913737,-0.1214194,"84","251","110","Deluxe","Couple","Leisure trip",3,2016-02-09,541,"No","No",4684,"No",33.3333,"United Kingdom ",8.3,6.3,3,1195,"No"
"Fleming s Selection Hotel Wien City","Austria","Vienna",52.3872884,4.8349748,"124","336","242","Other","Couple","Leisure trip",1,2015-12-21,591,"No","No",3672,"No",0,"Hungary ",8.3,8.8,21,333,"No"
"Mercure London Paddington Hotel","Gran Bretaña","London",51.5161139,-0.1749521,"66","205","59","Standard","Couple","Leisure trip",1,2015-10-25,648,"No","No",1458,"No",17.8571,"United Kingdom ",7.6,7.9,17,317,"Yes"
"Holiday Inn London Kensington Forum","Gran Bretaña","London",51.4942305,-0.1851141,"84","278","29","Other","Couple","Leisure trip",5,2016-01-16,565,"No","No",3867,"No",25,"Finland ",7.8,9.6,5,854,"No"
"Bentley London","Gran Bretaña","London",51.4928147,-0.1841753,"62","279","33","Other","Group","Leisure trip",3,2017-02-01,183,"No","No",486,"No",6.40394,"United Kingdom ",8.4,6.7,2,143,"No"
"Best Western Amiral Hotel","Francia","Paris",48.8252307,2.3569005,"20","315","154","Other","Couple","Couple",4,2017-07-07,27,"No","No",1173,"Yes",100,"United States of America ",7.5,10,2,58,"No"
"Novotel Paris Vaugirard Montparnasse","Francia","Paris",48.8399018,2.3031011,"25","2","120","Family","Family","Leisure trip",2,2015-08-13,721,"No","No",1313,"Yes",100,"United Kingdom ",7.6,9.6,2,143,"Yes"
"Mercure Paris Centre Tour Eiffel","Francia","Paris",48.8548641,2.2923181,"95","17","72","Deluxe","Couple","Leisure trip",1,2016-11-21,255,"No","No",2611,"Yes",100,"United Kingdom ",8,5.8,1,333,"Yes"
"Hilton London Olympia","Gran Bretaña","London",51.4967399,-0.2064723,"95","137","230","Other","Couple","Leisure trip",1,2016-03-27,494,"No","No",1786,"Yes",78.2609,"United Kingdom ",7.4,10,3,438,"Yes"
"WestCord Art Hotel Amsterdam 4 stars","Holanda","Amsterdam",52.3924898,4.8683822,"51","38","230","Deluxe","Couple","Leisure trip",3,2016-04-09,481,"No","No",1712,"Yes",100,"Ireland ",8.5,9.2,3,252,"Yes"
"Novotel London Wembley","Gran Bretaña","London",51.5611271,-0.2787261,"62","188","152","Deluxe","Family","Leisure trip",1,2016-06-21,408,"No","No",2924,"No",42,"United Kingdom ",8.9,8.8,1,832,"Yes"
"The Piccadilly London West End","Gran Bretaña","London",51.5121957,-0.1318384,"40","172","104","Other","Family","Leisure trip",1,2017-03-03,153,"No","No",2298,"Yes",58.4507,"United Kingdom ",9,8.3,11,531,"No"
"Maison Albar Hotel Paris Op ra Diamond","Francia","Paris",45.4471408,9.2070051,"124","336","242","Other","Family","Leisure trip",3,2016-12-19,227,"No","No",1524,"No",0,"Turkey ",8.8,7.5,9,172,"No"
"Park Plaza Victoria Amsterdam","Holanda","Amsterdam",52.377278,4.897818,"53","73","237","Other","Couple","Leisure trip",2,2015-08-30,704,"No","No",4820,"No",22.3881,"United Kingdom ",8,6.3,1,973,"No"
"Pullman Paris Montparnasse","Francia","Paris",48.8382943,2.3210421,"15","50","158","Other","Couple","Leisure trip",3,2016-06-24,405,"No","No",1501,"No",23.0769,"Morocco ",8.1,8.8,8,151,"Yes"
"Norfolk Towers Paddington","Gran Bretaña","London",51.5162883,-0.1721078,"76","216","66","Other","Couple","Leisure trip",1,2016-12-13,233,"No","No",4065,"No",44.4444,"United Kingdom ",7.9,10,2,634,"No"
"Mercure Amsterdam Sloterdijk Station","Holanda","Amsterdam",52.3872884,4.8349748,"51","220","174","Standard","Group","Leisure trip",3,2016-05-18,442,"No","No",3643,"No",23.6842,"United Kingdom ",8.6,10,7,498,"No"
"Radisson Blu Edwardian Sussex","Gran Bretaña","London",51.5144381,-0.1558337,"41","35","91","Other","Solo traveler","Business trip",2,2017-06-24,40,"No","No",1295,"Yes",62.5,"United Kingdom ",8,8.3,3,234,"Yes"
"Hotel degli Arcimboldi","Italia","Milan",45.5257221,9.2150033,"36","25","213","Other","Solo traveler","Business trip",1,2015-11-23,619,"No","No",10842,"No",10.5263,"Saudi Arabia ",8.3,3.8,1,563,"Yes"
"Hotel Dei Cavalieri","Italia","Milan",45.4608547,9.1886179,"58","60","9","Other","Family","Leisure trip",2,2017-04-19,106,"No","No",3445,"Yes",77.0833,"United States of America ",8.4,9.6,2,301,"No"
"H tel Concorde Montparnasse","Francia","Paris",48.8381079,2.318669,"11","35","153","Other","Solo traveler","Solo traveler",3,2016-10-08,299,"No","No",2515,"No",36,"New Zealand ",7.9,5.8,10,228,"No"
"Novotel London Paddington","Gran Bretaña","London",51.519032,-0.1825943,"36","239","36","Deluxe","Family","Leisure trip",4,2017-04-17,108,"No","No",1187,"Yes",63.6364,"Malta ",8.5,8.3,7,232,"Yes"
"Barcel Sants","España","Barcelona",41.3798964,2.1412433,"29","12","29","Other","Couple","Leisure trip",1,2016-05-31,429,"No","No",4379,"Yes",100,"United Kingdom ",8.6,10,13,420,"Yes"
"Best Western Hotel Montmartre Sacr Coeur","Francia","Paris",48.888539,2.3498459,"25","47","161","Other","Solo traveler","Business trip",1,2015-12-13,599,"No","No",1201,"No",0,"United Kingdom ",7.2,7.5,1,116,"Yes"
"Hotel mbit Barcelona","España","Barcelona",41.3907821,2.1717426,"44","136","39","Other","Solo traveler","Business trip",4,2015-11-23,619,"No","No",1498,"Yes",100,"France ",8.9,8.3,19,127,"No"
"Blakemore Hyde Park","Gran Bretaña","London",51.5129736,-0.1837431,"33","288","33","Other","Solo traveler","Business trip",2,2016-07-10,389,"No","No",6596,"No",0,"Germany ",8.5,10,4,1198,"Yes"
"citizenM Tower of London","Gran Bretaña","London",51.510237,-0.0764428,"38","55","30","Other","Solo traveler","Leisure trip",1,2016-11-13,263,"No","No",4672,"Yes",66.6667,"Australia ",9.1,9.6,37,832,"Yes"
"Thistle Euston","Gran Bretaña","London",51.5291423,-0.1372782,"51","62","100","Standard","Couple","Leisure trip",1,2017-03-22,134,"No","No",2474,"Yes",55.5556,"United Kingdom ",8.3,2.5,1,744,"No"
"Goodenough Club","Gran Bretaña","London",51.525535,-0.1180354,"116","73","115","Other","Couple","Leisure trip",4,2017-04-27,98,"No","No",959,"Yes",65.625,"Italy ",8.5,8.3,16,216,"No"
"DoubleTree by Hilton Hotel London Tower of London","Gran Bretaña","London",51.5108412,-0.0780581,"41","62","34","Other","Family","Leisure trip",1,2016-03-24,497,"No","No",7491,"Yes",88,"United Kingdom ",8.7,9.6,2,1936,"Yes"
"Hotel Auriga","Italia","Milan",45.4858877,9.2042827,"50","12","5","Other","Solo traveler","Leisure trip",1,2017-07-02,32,"No","No",1299,"No",27.2727,"United Kingdom ",8.2,8.3,1,113,"No"
"Hotel Erzherzog Rainer","Austria","Vienna",48.1953229,16.3672882,"41","60","3","Other","Couple","Leisure trip",2,2016-07-19,380,"No","No",3598,"No",13.5593,"Singapore ",8.8,6.7,16,279,"No"
"Radisson Blu Edwardian Vanderbilt","Gran Bretaña","London",51.4953691,-0.1818966,"49","244","39","Other","Couple","Leisure trip",1,2016-06-05,424,"No","No",2665,"No",47.3684,"United Kingdom ",8.2,9.2,13,514,"Yes"
"Hilton London Metropole","Gran Bretaña","London",51.5195688,-0.170521,"41","249","70","Other","Couple","Leisure trip",1,2016-04-26,464,"No","No",6977,"No",9.23077,"United Kingdom ",7.5,7.1,15,1485,"Yes"
"citizenM London Bankside","Gran Bretaña","London",51.5051507,-0.1004724,"31","17","102","Other","Solo traveler","Business trip",4,2015-11-15,627,"No","No",3802,"No",0,"Latvia ",9.1,7.1,8,804,"Yes"
"M by Montcalm Shoreditch London Tech City","Gran Bretaña","London",51.5278465,-0.0889473,"53","35","69","Other","Solo traveler","Business trip",2,2017-07-05,29,"No","No",4802,"Yes",100,"Italy ",9.1,9.2,17,1471,"No"
"London Marriott Hotel Kensington","Gran Bretaña","London",51.4944849,-0.1884174,"3","308","18","Other","Group","Business trip",8,2017-06-16,48,"No","No",449,"No",28.3951,"Bermuda ",8,7.5,1,105,"No"
"Holiday Inn Amsterdam","Holanda","Amsterdam",52.3351951,4.8885354,"73","72","236","Standard","Solo traveler","Leisure trip",2,2016-03-29,492,"No","No",1485,"Yes",56.6667,"United States of America ",7.7,10,17,196,"Yes"
"Holiday Inn London Mayfair","Gran Bretaña","London",51.507746,-0.1422993,"87","125","98","Other","Group","Business trip",3,2017-07-18,16,"No","No",1894,"No",11.7647,"Saudi Arabia ",8,5,4,390,"No"
"M by Montcalm Shoreditch London Tech City","Gran Bretaña","London",51.5278465,-0.0889473,"53","35","69","Deluxe","Solo traveler","Leisure trip",1,2015-09-23,680,"No","No",4802,"No",45.5882,"United Kingdom ",9.1,7.9,1,1471,"No"
"Golden Tulip Amsterdam Riverside","Holanda","Amsterdam",52.3154533,4.9962997,"2","305","187","Standard","Couple","Leisure trip",2,2016-08-03,365,"No","No",2362,"No",26.3158,"Colombia ",7.5,9.2,1,245,"No"
"Park Lane Mews Hotel","Gran Bretaña","London",51.5059334,-0.1489418,"3","73","95","Other","Couple","Leisure trip",1,2015-10-20,653,"No","No",2061,"No",11.4286,"United Kingdom ",7,2.9,1,444,"No"
"Hilton London Wembley","Gran Bretaña","London",51.5576962,-0.2835263,"11","181","152","Other","Solo traveler","Business trip",1,2017-03-21,135,"No","No",4305,"Yes",100,"United Kingdom ",8.8,10,3,1427,"Yes"
"Park International Hotel","Gran Bretaña","London",51.4945144,-0.1866172,"35","285","23","Family","Family","Family",1,2016-12-01,245,"No","No",1252,"No",36.3636,"Australia ",7.8,10,44,229,"Yes"
"citizenM Tower of London","Gran Bretaña","London",51.510237,-0.0764428,"38","55","30","Other","Couple","Leisure trip",1,2016-12-07,239,"No","No",4672,"Yes",100,"Ireland ",9.1,10,2,832,"Yes"
"M venpick Hotel Amsterdam City Centre","Holanda","Amsterdam",52.3781016,4.9142508,"106","92","228","Classic","Solo traveler","Business trip",3,2016-02-27,523,"No","No",1925,"No",45.4545,"Finland ",8.4,8.3,4,338,"No"
"Hotel Magna Pars Small Luxury Hotels of the World","Italia","Milan",45.4524879,9.1669784,"37","332","239","Deluxe","Couple","Leisure trip",2,2016-10-14,293,"No","No",454,"Yes",81.295,"Poland ",9,10,14,50,"No"
"DoubleTree by Hilton London West End","Gran Bretaña","London",51.5201065,-0.1221393,"72","111","111","Other","Family","Leisure trip",1,2016-03-31,490,"No","No",1774,"No",24,"Spain ",8.3,7.5,23,429,"No"
"De L Europe Amsterdam","Holanda","Amsterdam",52.3678779,4.8948936,"65","120","238","Deluxe","Couple","Leisure trip",3,2015-10-03,670,"No","No",551,"Yes",55.5556,"United States of America ",9.1,9.2,4,95,"Yes"
"Hotel Cavendish","Gran Bretaña","London",51.5220522,-0.132414,"32","163","104","Other","Solo traveler","Business trip",2,2017-03-04,152,"No","No",2275,"No",1.23457,"United Kingdom ",6.4,5,5,369,"No"
"Suite Hotel 900 m zur Oper","Austria","Vienna",48.1935235,16.3669145,"20","41","3","Family","Family","Leisure trip",1,2015-08-09,725,"No","No",3461,"No",0,"Poland ",8,7.5,45,260,"Yes"
"Pol Grace Hotel","España","Barcelona",41.4017465,2.1477365,"37","41","35","Other","Family","Leisure trip",4,2016-08-21,347,"No","No",2220,"Yes",59.6491,"Germany ",8.8,7.5,7,190,"No"
"Inntel Hotels Amsterdam Centre","Holanda","Amsterdam",52.3760456,4.8943917,"103","101","237","Other","Group","Leisure trip",2,2017-03-01,155,"No","No",3342,"No",35.5932,"United Kingdom ",8.2,7.1,3,538,"No"
"AC Hotel Barcelona Forum a Marriott Lifestyle Hotel","España","Barcelona",41.4101306,2.2188047,"84","30","195","Family","Family","Leisure trip",7,2016-08-29,339,"No","No",1560,"No",28.125,"Netherlands ",8.1,6.7,6,160,"No"
"Hotel Raffaello","Italia","Milan",45.494861,9.141551,"62","19","203","Other","Couple","Leisure trip",2,2016-09-28,309,"No","No",824,"No",33.3333,"Australia ",8.1,5.8,2,44,"No"
"Mercure Paris 19 Philharmonie La Villette","Francia","Paris",48.8886969,2.3945403,"62","104","44","Other","Group","Leisure trip",2,2017-04-20,105,"No","No",607,"No",3.40909,"Luxembourg ",7.5,5.8,3,34,"No"
"DoubleTree by Hilton London Docklands Riverside","Gran Bretaña","London",51.5043483,-0.0334436,"51","37","212","Other","Group","Leisure trip",2,2017-04-11,114,"No","No",3826,"No",22.4138,"United Kingdom ",8.1,6.7,1,995,"Yes"
"The Tower A Guoman Hotel","Gran Bretaña","London",51.5064721,-0.0716893,"20","12","20","Standard","Family","Leisure trip",1,2016-08-22,346,"No","No",3486,"Yes",100,"United Kingdom ",8.6,10,5,950,"No"
"Melia White House Hotel","Gran Bretaña","London",51.5298597,-0.1444623,"36","55","95","Classic","Solo traveler","Business trip",1,2017-03-15,141,"No","No",1871,"Yes",100,"Germany ",8.3,10,18,354,"No"
"Hotel Sanpi Milano","Italia","Milan",45.4777623,9.203169,"67","29","5","Other","Couple","Leisure trip",2,2015-10-05,668,"No","No",904,"Yes",91.8919,"United States of America ",8.5,9.6,1,64,"Yes"
"The Hoxton Shoreditch","Gran Bretaña","London",51.5255136,-0.082927,"83","60","53","Other","Couple","Leisure trip",1,2016-05-31,429,"No","No",1732,"Yes",100,"United Kingdom ",9,9.6,1,524,"Yes"
"Arion Cityhotel Vienna und Appartements","Austria","Vienna",48.1585332,16.3451115,"36","162","234","Standard","Solo traveler","Business trip",1,2015-09-14,689,"No","No",3887,"No",18.75,"Austria ",8.1,9.2,24,317,"No"
"FourSide Hotel Suites Vienna","Austria","Vienna",48.2565936,16.4031426,"36","61","208","Classic","Solo traveler","Leisure trip",1,2016-04-26,464,"No","No",1146,"No",13.3333,"Netherlands ",8.6,10,23,76,"No"
"Art Hotel Navigli","Italia","Milan",45.4501306,9.1696481,"39","5","241","Other","Couple","Leisure trip",3,2015-09-13,690,"No","No",3636,"No",30.7692,"Saudi Arabia ",8.6,6.3,5,199,"No"
"Hampshire Hotel Rembrandt Square Amsterdam","Holanda","Amsterdam",52.3663466,4.8985764,"47","105","237","Other","Couple","Leisure trip",3,2016-07-31,368,"No","No",2591,"No",16.6667,"United Kingdom ",7.8,7.9,1,520,"Yes"
"Ramada Plaza Milano","Italia","Milan",45.501946,9.2277569,"51","57","218","Other","Group","Leisure trip",1,2016-10-05,302,"No","No",2612,"No",30,"Switzerland ",8.4,8.8,7,203,"No"
"Hotel Arena","Holanda","Amsterdam",52.3605759,4.9159683,"84","138","228","Duplex","Family","Leisure trip",2,2017-04-20,105,"No","No",1403,"Yes",54.5455,"New Zealand ",7.7,8.3,2,194,"Yes"
"Austria Trend Hotel Lassalle Wien","Austria","Vienna",48.2273013,16.4001791,"73","70","219","Classic","Couple","Leisure trip",4,2017-01-08,207,"No","No",1287,"Yes",83.871,"Singapore ",8.1,8.8,3,99,"Yes"
"Radisson Blu Edwardian Vanderbilt","Gran Bretaña","London",51.4953691,-0.1818966,"49","244","39","Standard","Couple","Leisure trip",1,2016-07-24,375,"Yes","Yes",2665,"No",33.3333,"United Kingdom ",8.2,6.3,2,514,"No"
"Mercure Amsterdam Sloterdijk Station","Holanda","Amsterdam",52.3872884,4.8349748,"51","220","174","Standard","Group","Leisure trip",7,2016-02-21,529,"No","No",3643,"Yes",100,"United Kingdom ",8.6,10,4,498,"Yes"
"citizenM London Bankside","Gran Bretaña","London",51.5051507,-0.1004724,"31","17","102","Other","Group","Leisure trip",1,2017-08-02,1,"No","No",3802,"Yes",100,"United Kingdom ",9.1,9.6,1,804,"Yes"
"Millennium Gloucester Hotel London","Gran Bretaña","London",51.4935083,-0.1834346,"38","267","36","Standard","Couple","Leisure trip",3,2016-03-24,497,"No","No",5726,"Yes",100,"Ireland ",7.8,7.5,4,1444,"Yes"
"Camperio House Suites Apartments","Italia","Milan",45.466598,9.183064,"71","50","8","Classic","Couple","Leisure trip",3,2016-05-19,441,"No","No",567,"Yes",71.4286,"China ",8.9,10,83,67,"Yes"
"Norfolk Towers Paddington","Gran Bretaña","London",51.5162883,-0.1721078,"76","216","66","Other","Group","Leisure trip",1,2016-10-06,301,"No","No",4065,"No",40,"United Kingdom ",7.9,7.5,1,634,"Yes"
"The Hoxton Holborn","Gran Bretaña","London",51.5172398,-0.1220324,"50","111","110","Other","Couple","Leisure trip",1,2016-10-04,303,"No","No",1740,"Yes",100,"United Kingdom ",9.2,10,11,421,"Yes"
"Hotel Park Villa","Austria","Vienna",45.4524879,9.1669784,"124","336","242","Other","Family","Leisure trip",1,2016-08-13,355,"No","No",564,"Yes",60.3448,"United Kingdom ",8.6,10,1,37,"Yes"
"Kingsway Hall Hotel","Gran Bretaña","London",51.5158643,-0.1200625,"70","101","113","Standard","Couple","Leisure trip",1,2016-07-26,373,"No","No",1363,"Yes",81.25,"United Kingdom ",8.5,9.2,4,377,"Yes"
"Bermondsey Square Hotel A Bespoke Hotel","Gran Bretaña","London",51.4991134,-0.0790969,"15","326","36","Other","Couple","Leisure trip",2,2017-05-28,67,"No","No",844,"No",13.8889,"United Kingdom ",8.3,9.2,1,220,"No"
"Hotel de France Wien","Austria","Vienna",48.2146623,16.3627994,"39","50","5","Other","Couple","Leisure trip",4,2016-10-11,296,"No","No",5177,"No",40,"Brazil ",8.5,8.3,1,416,"Yes"
"Holiday Inn London Kensington","Gran Bretaña","London",51.499981,-0.1928791,"50","5","7","Standard","Family","Leisure trip",1,2017-04-18,107,"No","No",5945,"Yes",77.7778,"United Kingdom ",7.8,9.2,6,1172,"Yes"
"Hotel Vignon","Francia","Paris",48.8717146,2.3261812,"121","96","168","Other","Couple","Leisure trip",3,2016-11-23,253,"No","No",617,"No",36.5385,"United States of America ",8.8,9.6,7,65,"Yes"
"Shaftesbury Hyde Park International","Gran Bretaña","London",51.5123968,-0.186124,"56","325","24","Other","Solo traveler","Leisure trip",1,2017-07-18,16,"No","No",2907,"No",0,"United Kingdom ",8,9.2,1,545,"Yes"
"Shangri La Hotel at The Shard London","Gran Bretaña","London",51.5044972,-0.0855562,"42","41","57","Deluxe","Couple","Leisure trip",1,2016-06-14,415,"No","No",2200,"No",35.7143,"United Kingdom ",9.4,7.5,1,732,"No"
"Ilunion Barcelona","España","Barcelona",41.3989322,2.2024183,"39","170","1","Other","Couple","Business trip",7,2016-12-13,233,"No","No",3944,"Yes",100,"Poland ",7.9,8.8,7,396,"No"
"Copthorne Tara Hotel London Kensington","Gran Bretaña","London",51.499046,-0.1917073,"62","5","10","Deluxe","Solo traveler","Leisure trip",1,2015-12-06,606,"No","No",7105,"Yes",66.6667,"United Kingdom ",8.1,8.8,1,1831,"Yes"
"Holiday Inn Paris Gare de l Est","Francia","Paris",48.8758981,2.3590504,"59","82","157","Other","Couple","Leisure trip",3,2015-09-29,674,"No","No",6511,"No",50,"United Kingdom ",7.9,6.7,4,710,"Yes"
"Maison Albar H tel Paris Champs Elys es ex Mac Mahon ","Francia","Paris",48.8753837,2.2944651,"61","41","80","Other","Couple","Leisure trip",5,2017-04-08,117,"No","No",774,"No",34.2105,"United Kingdom ",8.4,10,10,117,"Yes"
"Suite Hotel 900 m zur Oper","Austria","Vienna",48.1935235,16.3669145,"20","41","3","Family","Family","Leisure trip",3,2015-08-13,721,"No","No",3461,"Yes",75.8621,"Belgium ",8,10,3,260,"No"
"Grand Pigalle Hotel","Francia","Paris",48.880856,2.3375085,"108","136","176","Standard","Solo traveler","Leisure trip",4,2016-06-30,399,"No","No",399,"No",16.875,"Turkey ",9.1,7.5,3,74,"No"
"Hotel Arena","Holanda","Amsterdam",52.3605759,4.9159683,"84","138","228","Duplex","Solo traveler","Business trip",3,2016-08-28,340,"No","No",1403,"No",37.5,"Italy ",7.7,8.3,8,194,"No"
"Austria Trend Hotel Park Royal Palace Vienna","Austria","Vienna",48.191339,16.3165873,"51","66","203","Deluxe","Couple","Leisure trip",1,2017-07-30,4,"No","No",3667,"Yes",100,"Serbia ",8.8,10,29,251,"Yes"
"Leonardo Hotel Vienna","Austria","Vienna",48.1945297,16.340327,"3","2","239","Other","Group","Leisure trip",2,2017-06-27,37,"No","No",6373,"Yes",81.8182,"Australia ",8.1,8.8,13,387,"Yes"
"H tel Barri re Le Fouquet s","Francia","Paris",48.8710709,2.3013119,"87","60","113","Family","Family","Leisure trip",1,2017-07-11,23,"Yes","Yes",194,"No",21.7391,"Oman ",9,7.5,23,25,"Yes"
"The Exhibitionist Hotel","Gran Bretaña","London",51.4947754,-0.177789,"31","230","54","Standard","Couple","Leisure trip",2,2017-02-28,156,"No","No",1708,"Yes",100,"United Kingdom ",8.4,10,3,388,"Yes"
"DoubleTree By Hilton London Excel","Gran Bretaña","London",51.507377,0.038657,"51","167","116","Other","Solo traveler","Business trip",1,2016-04-24,466,"No","No",2726,"No",0,"United Kingdom ",8.4,5,1,853,"No"
"Dorsett Shepherds Bush","Gran Bretaña","London",51.5039399,-0.2244232,"49","241","213","Other","Solo traveler","Business trip",2,2016-09-22,315,"No","No",2890,"No",11.3924,"United Kingdom ",8.6,10,2,690,"No"
"Grupotel Gran Via 678","España","Barcelona",41.392344,2.1729157,"41","122","39","Other","Family","Leisure trip",5,2016-04-03,487,"No","No",1664,"Yes",57.4468,"United States of America ",8.4,8.3,1,158,"No"
"Great Northern Hotel A Tribute Portfolio Hotel London","Gran Bretaña","London",51.531427,-0.126133,"59","24","105","Other","Solo traveler","Business trip",1,2017-03-11,145,"No","No",1110,"No",48.5714,"Belgium ",8.9,10,2,303,"No"
"Mondrian London","Gran Bretaña","London",51.5084036,-0.1067988,"11","29","112","Standard","Group","Leisure trip",2,2015-09-15,688,"No","No",3611,"No",42.8571,"United Kingdom ",9.1,9.2,10,1100,"No"
"Starhotels Business Palace","Italia","Milan",45.43784,9.230901,"51","187","205","Classic","Solo traveler","Solo traveler",2,2017-05-21,74,"No","No",5265,"No",0,"Netherlands ",8.1,6.3,8,269,"No"
"Millennium Gloucester Hotel London","Gran Bretaña","London",51.4935083,-0.1834346,"38","267","36","Standard","Couple","Leisure trip",2,2017-05-28,67,"No","No",5726,"No",0,"United Kingdom ",7.8,6.7,2,1444,"Yes"
"ADI Doria Grand Hotel","Italia","Milan",45.4853717,9.2115837,"84","17","239","Family","Family","Leisure trip",3,2017-03-20,136,"No","No",896,"No",37.5,"Austria ",8.3,10,12,69,"Yes"
"Ramada Plaza Milano","Italia","Milan",45.501946,9.2277569,"51","57","218","Classic","Group","Leisure trip",3,2017-06-26,38,"No","No",2612,"No",41.1765,"Singapore ",8.4,7.5,1,203,"No"
"citizenM London Bankside","Gran Bretaña","London",51.5051507,-0.1004724,"31","17","102","Other","Couple","Leisure trip",1,2015-08-16,718,"No","No",3802,"Yes",54.5455,"United Kingdom ",9.1,9.6,1,804,"Yes"
"Corus Hotel Hyde Park","Gran Bretaña","London",51.5119446,-0.179939,"106","299","47","Deluxe","Solo traveler","Leisure trip",1,2016-07-10,389,"No","No",2562,"Yes",100,"United Kingdom ",7.6,10,3,452,"Yes"
"The Westbury A Luxury Collection Hotel Mayfair London","Gran Bretaña","London",51.5144418,-0.146432,"92","77","97","Deluxe","Group","Leisure trip",1,2016-05-06,454,"No","No",715,"Yes",84.7458,"United Kingdom ",8.2,10,7,164,"No"
"Petit Palace Boqueria Garden","España","Barcelona",41.3812223,2.1739622,"13","122","38","Other","Family","Leisure trip",3,2017-04-10,115,"No","No",3602,"Yes",67.1642,"United Kingdom ",8.5,9.6,2,392,"No"
"Park Plaza Westminster Bridge London","Gran Bretaña","London",51.5009609,-0.1165913,"31","41","115","Other","Couple","Leisure trip",6,2017-04-27,98,"No","No",12158,"No",18.3333,"United States of America ",8.7,10,1,2623,"No"
"Savoy Hotel Amsterdam","Holanda","Amsterdam",52.3497431,4.8911908,"32","29","237","Other","Family","Family",5,2015-09-15,688,"No","No",995,"Yes",63.4146,"Sweden ",6.4,6.7,12,114,"No"
"Crowne Plaza London Docklands","Gran Bretaña","London",51.5083537,0.0198855,"116","3","174","Deluxe","Couple","Leisure trip",1,2017-05-22,73,"No","No",2768,"No",41.4286,"United Kingdom ",8.8,7.5,1,879,"No"
"Apex Temple Court Hotel","Gran Bretaña","London",51.5137335,-0.1087512,"50","41","114","Classic","Couple","Leisure trip",7,2016-10-06,301,"No","No",2619,"No",45.7627,"Israel ",9.2,9.2,9,639,"No"
"Zenit Barcelona","España","Barcelona",41.3949199,2.1468594,"53","55","35","Other","Solo traveler","Business trip",1,2016-02-11,539,"No","No",645,"No",0,"United Kingdom ",8.1,7.5,2,56,"No"
"Catalonia Eixample 1864","España","Barcelona",41.393599,2.1684151,"54","120","41","Other","Family","Leisure trip",1,2016-07-12,387,"Yes","Yes",2372,"Yes",51.4925,"United Kingdom ",8.3,9.6,4,237,"Yes"
"London Marriott Hotel West India Quay","Gran Bretaña","London",51.5072713,-0.0211213,"20","153","191","Deluxe","Couple","Leisure trip",2,2017-05-24,71,"No","No",2836,"Yes",100,"United Kingdom ",8.9,10,2,930,"No"
"Mercure Vienna First","Austria","Vienna",48.2114567,16.3738677,"105","73","4","Standard","Couple","Leisure trip",4,2015-11-09,633,"No","No",516,"Yes",100,"Austria ",8.8,9.6,2,56,"No"
"Hotel City Central","Austria","Vienna",48.2037451,16.3356767,"124","336","242","Other","Couple","Leisure trip",4,2016-11-08,268,"No","No",2923,"No",35.8974,"Israel ",8.6,9.6,3,211,"No"
"Barcel Raval","España","Barcelona",41.3790126,2.1696339,"72","116","38","Deluxe","Couple","Leisure trip",4,2016-06-07,422,"No","No",2254,"Yes",56.5217,"United Kingdom ",8.4,8.3,1,256,"Yes"
"Bloomsbury Palace Hotel","Gran Bretaña","London",51.5207945,-0.1310845,"55","169","104","Other","Family","Leisure trip",1,2016-12-22,224,"No","No",2751,"No",29.8246,"United Kingdom ",6.8,6.7,1,457,"Yes"
