"id","Total.Household.Income","Region","Total.Food.Expenditure","Main.Source.of.Income","Agricultural.Household.indicator","Restaurant.and.hotels.Expenditure","Alcohol.and.tobacco.expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Imputed.House.Rental.Value","Medical.education.transport.and.communication.expenditure","Miscellaneous.goods.and.special.occasions.expenditure","Crop.Farming.and.Gardening.expenses","Total.Income.from.Entrepreneurial.Acitivites","Household.Head.Sex","Household.Head.Age","Household.Head.Marital.Status","Household.Head.Highest.Grade.Completed","Household.Head.Job.or.Business.Indicator","Household.Head.Occupation","Household.Head.Class.of.Worker","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed","Type.of.Building.House","House.Floor.Area","House.Age","Number.of.bedrooms","Electricity","Number.of.Car..Jeep..Van","Number.of.Cellular.phone","Number.of.Motorcycle.Tricycle"
2574,98632,"IVA - CALABARZON",37013,"Enterpreneurial Activities","0",2860,1202,1120,28800,24000,9568,5736,0,51162,"Male",58,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,1,0,"Single house",50,30,2,1,0,2,0
2575,492126,"III - Central Luzon",76496,"Wage/Salaries","0",7820,34960,2415,71820,42000,13515,18841,0,33798,"Male",74,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",10,0,2,4,"Single house",180,20,2,1,0,1,0
2576,399646,"II - Cagayan Valley",94454,"Wage/Salaries","0",16200,0,6560,55836,30000,33950,15028,0,60000,"Female",61,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",7,2,1,2,"Single house",90,35,3,1,0,6,0
2577,120310," ARMM",67642,"Enterpreneurial Activities","0",0,0,1620,20022,13800,11533,4158,0,101150,"Female",41,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,0,2,0,"Single house",5,23,1,0,0,0,0
2578,131336,"X - Northern Mindanao",38214,"Wage/Salaries","0",5200,190,3255,35730,24000,14738,14518,0,0,"Male",32,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,2,0,1,"Single house",25,25,1,1,0,2,0
2579,277468," ARMM",77979,"Wage/Salaries","0",480,4434,5620,14304,7800,18978,5262,0,59776,"Male",44,"Divorced/Separated","High School Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",6,0,0,2,"Single house",48,6,2,0,0,3,1
2580,104607,"XI - Davao Region",52213,"Wage/Salaries","0",7240,8869,560,25188,9000,757,1764,0,35700,"Male",27,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",5,2,1,1,"Single house",60,15,2,1,0,0,0
2581,240220,"CAR",59484,"Other sources of Income","0",1780,0,3620,7968,3600,12452,9048,2990,2990,"Male",71,"Widowed","Program Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,1,0,1,"Single house",100,35,4,1,0,2,0
2582,91612,"XII - SOCCSKSARGEN",41452,"Other sources of Income","1",0,50,3310,11790,6000,4320,9518,294,294,"Male",59,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",4,1,0,2,"Single house",35,5,0,1,0,0,0
2583,152280,"I - Ilocos Region",62054,"Wage/Salaries","0",1040,2561,780,14670,7200,21569,3408,0,0,"Female",59,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",10,1,1,6,"Single house",20,15,0,1,0,1,0
2584,74448,"VIII - Eastern Visayas",43018,"Other sources of Income","0",14260,0,350,10806,2400,1896,4406,0,0,"Female",71,"Widowed","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",1,0,0,1,"Single house",25,35,1,1,0,0,0
2585,329297,"NCR",145930,"Other sources of Income","2",32500,0,7280,97350,60000,37478,22458,0,12000,"Female",77,"Widowed","Program Studies","No Job/Business","No Occupation","Unemployed",4,1,1,1,"Single house",80,19,1,1,0,2,0
2586,346310,"I - Ilocos Region",110873,"Enterpreneurial Activities","0",27080,6540,3456,57156,36000,81699,23160,0,187756,"Female",70,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",10,0,4,1,"Single house",84,89,2,1,0,5,2
2587,140148,"I - Ilocos Region",169324,"Other sources of Income","0",122460,2206,825,17640,10800,6020,8978,0,0,"Male",52,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",6,1,0,1,"Single house",60,19,1,1,0,2,1
2588,383454,"Caraga",102942,"Wage/Salaries","0",7980,1485,13865,52464,36000,27556,49008,0,0,"Male",34,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,2,2,"Single house",32,13,3,1,0,3,2
2589,348560,"III - Central Luzon",79514,"Wage/Salaries","1",24040,7240,18150,30780,9000,19253,17078,0,0,"Male",18,"Single","High School Studies","No Job/Business","No Occupation","Unemployed",4,0,2,2,"Single house",64,20,2,1,0,1,0
2590,123363,"VIII - Eastern Visayas",82673,"Enterpreneurial Activities","1",0,7280,3910,24330,9000,12074,10710,39259,83519,"Male",52,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",6,0,0,0,"Single house",42,8,2,1,0,3,0
2591,101493,"VII - Central Visayas",90640,"Other sources of Income","1",5080,630,3746,25248,9000,18956,11130,0,31246,"Male",37,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",7,1,3,1,"Single house",27,1,2,1,0,1,1
2592,190560,"CAR",51294,"Enterpreneurial Activities","1",3080,0,2840,16440,4800,5654,7290,141250,141250,"Male",31,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",5,1,2,2,"Single house",90,16,0,0,0,1,0
2593,257012,"V - Bicol Region",87419,"Other sources of Income","0",9600,0,4257,88698,66000,36977,7478,0,0,"Female",75,"Widowed","Program Studies","No Job/Business","No Occupation","Unemployed",2,0,0,0,"Single house",100,5,3,1,0,2,0
2594,99485,"XII - SOCCSKSARGEN",51770,"Other sources of Income","0",2870,264,7330,16548,3600,6707,4598,6730,29210,"Male",30,"Married","No Studies","With Job/Business","Secondary Sector","Worked for private establishment",6,3,1,1,"Single house",11,5,1,1,0,2,0
2595,149524,"V - Bicol Region",73403,"Other sources of Income","0",15140,4400,575,39642,24000,53679,6378,0,24998,"Male",53,"Married","High School Studies","No Job/Business","No Occupation","Unemployed",3,0,0,1,"Single house",30,11,2,1,0,2,1
2596,330304,"NCR",137362,"Other sources of Income","2",26820,6348,7200,97620,33000,37488,23670,0,24602,"Female",27,"Married","Program Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,1,1,0,"Duplex",30,35,2,1,0,1,1
2597,180520,"IVA - CALABARZON",83487,"Other sources of Income","0",14550,6180,2739,42300,18000,29822,10598,5650,21130,"Male",41,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,0,2,1,"Single house",36,13,1,1,0,3,0
2598,98874," ARMM",77766,"Enterpreneurial Activities","1",6940,2080,2275,12840,7800,5278,3528,0,77684,"Male",47,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",8,2,4,0,"Single house",15,6,1,0,0,1,0
2599,157300," ARMM",102710,"Other sources of Income","1",3060,0,1781,28050,24000,4659,5692,0,36000,"Male",70,"Married","No Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",5,0,1,0,"Single house",100,40,2,0,0,1,0
2600,109719,"XI - Davao Region",55271,"Other sources of Income","1",2050,2270,930,16512,13200,1555,1758,0,0,"Female",66,"Widowed","No Studies","No Job/Business","No Occupation","Unemployed",5,0,1,3,"Single house",29,10,2,1,0,3,0
2601,101087,"X - Northern Mindanao",37301,"Enterpreneurial Activities","1",160,2660,1405,22098,9000,7256,4624,0,65810,"Female",73,"Widowed","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",60,47,2,1,0,1,0
2602,101060,"CAR",44974,"Enterpreneurial Activities","1",0,0,4430,22290,12000,2804,4200,46950,83350,"Female",62,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,0,0,0,"Single house",50,23,2,1,0,0,0
2603,217633,"IVA - CALABARZON",65722,"Other sources of Income","0",11520,0,3910,63900,42000,38797,18048,11838,11838,"Male",75,"Married","No Studies","No Job/Business","No Occupation","Unemployed",3,0,1,0,"Single house",36,35,3,1,0,1,0
2604,82633,"VII - Central Visayas",46777,"Other sources of Income","0",6210,1390,2265,16464,4200,8007,3290,9900,12184,"Male",47,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",5,0,3,0,"Single house",17,20,2,1,0,2,0
2605,79385,"I - Ilocos Region",40587,"Wage/Salaries","0",0,0,380,20238,10800,5298,3120,0,28004,"Male",64,"Married","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,0,1,"Duplex",20,31,0,1,0,0,1
2606,258737,"NCR",156947,"Wage/Salaries","2",64980,14907,2880,27180,15000,20194,19240,0,0,"Male",53,"Married","No Studies","With Job/Business","Secondary Sector","Worked for private establishment",4,0,1,2,"Single house",45,65,0,1,0,2,0
2607,133050,"V - Bicol Region",93095,"Other sources of Income","0",13960,2496,663,13890,7800,7744,15006,0,28000,"Male",53,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,0,3,1,"Single house",48,27,2,1,0,1,1
2608,309048,"II - Cagayan Valley",123344,"Other sources of Income","0",9920,1040,1645,53700,39000,13391,16914,0,0,"Male",62,"Married","No Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,2,1,4,"Single house",50,15,2,1,0,2,2
2609,318048,"VI - Western Visayas",124083,"Wage/Salaries","1",17272,25643,9651,35064,10200,14044,54554,0,48558,"Male",60,"Married","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",10,3,0,4,"Multi-unit residential",25,22,2,1,0,3,0
2610,313994,"VI - Western Visayas",119550,"Enterpreneurial Activities","0",50680,0,2220,27354,12000,64380,12708,0,194100,"Female",52,"Divorced/Separated","Program Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,2,0,1,"Single house",15,3,1,1,0,3,0
2611,236632,"NCR",115346,"Enterpreneurial Activities","2",26500,520,3000,58170,30000,8969,7062,0,206632,"Male",54,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",6,1,1,0,"Single house",40,26,1,1,0,2,2
2612,288026,"IX - Zasmboanga Peninsula",90968,"Wage/Salaries","0",19240,4400,5107,37038,24000,14988,19452,0,38500,"Male",35,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",3,1,0,1,"Single house",25,40,2,1,0,2,0
2613,315100,"IVA - CALABARZON",111711,"Wage/Salaries","0",53292,4856,3755,32160,24000,14141,10554,0,0,"Male",41,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,1,2,"Single house",40,35,2,1,0,4,1
2614,71766,"V - Bicol Region",40603,"Wage/Salaries","1",0,2715,317,13758,9000,2262,2470,16770,20668,"Male",59,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",2,0,0,1,"Single house",48,15,1,1,0,0,0
2615,206300,"XI - Davao Region",70603,"Enterpreneurial Activities","0",3200,0,2199,57276,33000,5991,8460,0,168000,"Female",56,"Single","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",1,0,0,0,"Single house",80,30,2,1,0,0,0
2616,198513,"IVA - CALABARZON",106447,"Enterpreneurial Activities","0",27190,1973,1320,49950,21000,11885,13422,0,121914,"Male",38,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,1,1,1,"Duplex",50,10,1,1,0,1,0
2617,206951,"III - Central Luzon",134546,"Other sources of Income","0",65433,0,990,13920,6000,23228,6744,0,0,"Female",51,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private household",7,0,6,2,"Duplex",30,17,0,1,0,0,0
2618,142065,"IX - Zasmboanga Peninsula",70982,"Enterpreneurial Activities","0",200,8620,3928,19170,12000,8951,10616,14795,113545,"Male",67,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",7,1,1,0,"Single house",200,14,2,1,0,2,0
2619,117319,"X - Northern Mindanao",43556,"Wage/Salaries","1",4240,0,590,7800,2400,2141,5272,6030,20430,"Male",66,"Married","No Studies","No Job/Business","No Occupation","Unemployed",7,1,1,2,"Single house",35,15,2,1,0,1,0
2620,235820,"Caraga",47380,"Wage/Salaries","0",26967,0,1440,15966,7200,59762,3784,0,0,"Female",27,"Single","High School Studies","No Job/Business","No Occupation","Unemployed",2,0,0,0,"Single house",36,67,2,1,0,2,0
2621,132690,"CAR",40698,"Other sources of Income","0",2100,13260,0,54240,48000,8560,1080,0,0,"Male",62,"Single","High School Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Single house",112,4,2,1,0,0,0
2622,244932,"NCR",140198,"Wage/Salaries","0",29120,0,6000,58860,30000,15056,17142,0,0,"Female",55,"Widowed","High School Studies","No Job/Business","No Occupation","Unemployed",4,0,0,1,"Single house",25,45,1,1,0,4,0
2623,445020,"NCR",178975,"Wage/Salaries","0",58575,10860,11920,147210,66000,34320,33204,0,0,"Male",73,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",3,0,0,3,"Single house",50,50,2,1,0,3,0
2624,140382,"Caraga",97826,"Wage/Salaries","0",2886,1080,4525,18090,9000,15299,11760,0,0,"Male",58,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",8,1,4,1,"Single house",40,55,3,1,0,3,1
2625,113400,"I - Ilocos Region",53904,"Other sources of Income","1",5250,1736,2405,19068,8400,6998,10938,44420,44420,"Female",57,"Widowed","High School Studies","No Job/Business","No Occupation","Unemployed",7,2,2,0,"Single house",80,23,2,1,0,1,0
2626,633205,"NCR",123393,"Other sources of Income","0",52780,0,4160,151170,0,96502,27056,0,0,"Female",59,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,0,1,"Single house",40,45,1,1,0,2,0
2627,37874,"IVA - CALABARZON",28909,"Wage/Salaries","0",4310,0,475,10800,4800,3206,2640,0,5202,"Female",64,"Widowed","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,1,1,1,"Single house",20,3,0,1,0,1,0
2628,131770,"VII - Central Visayas",70662,"Wage/Salaries","0",8816,1560,3437,19500,3600,6383,6480,0,2500,"Male",32,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",5,0,3,1,"Single house",19,6,1,1,0,1,1
2629,166033,"VIII - Eastern Visayas",58598,"Other sources of Income","0",0,140,1534,12816,4800,2717,14934,0,34868,"Male",39,"Married","No Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,1,1,1,"Single house",50,18,1,1,0,1,0
2630,166850," ARMM",111499,"Enterpreneurial Activities","1",0,0,990,23400,16800,27806,7242,144120,144120,"Male",51,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",8,0,0,0,"Single house",55,14,2,0,0,2,0
2631,112075,"IX - Zasmboanga Peninsula",65675,"Enterpreneurial Activities","1",2300,0,5885,10218,4200,6549,7763,30340,56510,"Male",44,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",9,1,4,1,"Single house",43,7,1,0,0,2,0
2632,61245," ARMM",56933,"Enterpreneurial Activities","1",4660,120,3318,9600,6000,4167,6258,40290,40290,"Male",27,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,1,0,0,"Single house",35,10,1,0,0,1,0
2633,462465,"III - Central Luzon",103483,"Wage/Salaries","0",16680,16778,4390,83394,48000,8504,12570,0,0,"Female",69,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",4,0,0,3,"Single house",60,34,4,1,0,3,0
2634,271558,"IVB - MIMAROPA",136751,"Wage/Salaries","0",25540,2340,18251,41352,0,41617,25154,0,0,"Male",58,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,1,3,"Single house",120,25,2,1,0,4,1
2635,241954,"VII - Central Visayas",136231,"Enterpreneurial Activities","0",74220,480,2755,54072,42000,23557,8060,0,174954,"Male",48,"Married","Program Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,0,1,0,"Single house",30,45,1,1,0,1,0
2636,294103,"IVA - CALABARZON",111206,"Wage/Salaries","0",33475,0,15232,44436,18000,28300,34260,0,18447,"Male",32,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,2,2,"Multi-unit residential",20,8,1,1,0,4,0
2637,114400,"XI - Davao Region",67850,"Wage/Salaries","1",14380,60,3560,16620,4800,4900,4698,0,8760,"Female",59,"Widowed","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,1,0,1,"Single house",28,29,2,1,0,1,0
2638,150182,"VII - Central Visayas",146332,"Wage/Salaries","0",38480,0,10315,40542,21000,71466,60454,0,15652,"Male",40,"Married","Program Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,0,2,1,"Single house",96,26,3,1,0,3,1
2639,63073,"I - Ilocos Region",32312,"Other sources of Income","0",9200,0,0,7140,6000,30,1134,0,2760,"Female",79,"Single","High School Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Single house",100,33,1,0,0,0,0
2640,1508378,"IVA - CALABARZON",281729,"Wage/Salaries","0",87800,0,1250,84198,60000,266363,40500,0,560598,"Male",44,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",5,1,2,2,"Single house",40,15,2,1,1,2,0
2641,424833,"IVB - MIMAROPA",122537,"Wage/Salaries","0",22100,1962,24835,23100,12000,74717,19446,0,0,"Male",49,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",5,0,1,4,"Single house",64,25,2,1,0,4,2
2642,227300,"VII - Central Visayas",87826,"Wage/Salaries","0",36825,0,1095,12750,4800,41267,9518,0,0,"Male",42,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,0,2,1,"Single house",12,18,1,1,0,2,1
2643,100011,"CAR",37106,"Other sources of Income","0",420,120,2660,15000,4200,13488,6690,1500,2500,"Female",76,"Widowed","High School Studies","No Job/Business","No Occupation","Unemployed",3,0,1,1,"Single house",320,45,2,1,0,1,0
2644,112659,"VII - Central Visayas",53993,"Enterpreneurial Activities","1",450,1413,2600,21558,16800,6622,25322,48063,56670,"Female",58,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,0,0,0,"Single house",54,35,4,1,0,1,1
2645,1574017,"VII - Central Visayas",189205,"Enterpreneurial Activities","0",14520,5200,8465,251964,90000,180392,77150,235406,756202,"Female",61,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",6,2,0,3,"Single house",158,10,3,1,1,5,1
2646,394400,"VI - Western Visayas",83737,"Enterpreneurial Activities","0",7240,8039,850,40452,24000,23320,14856,0,239400,"Male",66,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,0,0,0,"Single house",130,25,3,1,0,3,0
2647,412020,"V - Bicol Region",173037,"Wage/Salaries","0",53580,280,11658,69810,18000,117582,27316,0,65598,"Male",46,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",7,0,2,2,"Single house",105,15,4,1,1,6,1
2648,197713,"II - Cagayan Valley",61272,"Enterpreneurial Activities","1",1650,10869,4189,38652,18000,32550,12848,114388,130088,"Male",47,"Married","Elementary Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",3,0,0,1,"Single house",200,27,3,1,0,3,1
2649,42691,"Caraga",25092,"Other sources of Income","1",1536,0,1615,6360,1800,2959,2564,0,18164,"Male",46,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,2,0,"Single house",25,4,2,0,0,0,0
2650,173400," ARMM",62107,"Enterpreneurial Activities","0",3930,0,2020,35394,21000,4268,6438,0,137000,"Male",45,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",6,0,4,0,"Single house",66,35,3,1,0,2,0
2651,130986,"VII - Central Visayas",72225,"Wage/Salaries","0",2643,0,8200,16176,4200,32443,9578,0,4275,"Male",46,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",6,0,3,3,"Single house",20,22,2,1,0,2,1
2652,124560,"CAR",67093,"Other sources of Income","0",9840,0,3200,12360,9000,33365,7612,0,0,"Female",32,"Married","Program Studies","No Job/Business","No Occupation","Unemployed",6,2,2,0,"Single house",36,8,1,1,0,1,0
2653,307476,"XII - SOCCSKSARGEN",114032,"Wage/Salaries","0",18007,7120,12176,46548,27000,20358,35570,0,8650,"Male",45,"Married","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",6,0,2,3,"Single house",46,13,3,1,0,4,0
2654,407855,"NCR",108326,"Wage/Salaries","2",23560,9066,1870,53436,0,27640,32052,0,0,"Male",56,"Married","No Studies","With Job/Business","Tertiary Sector","Worked for private household",9,2,3,2,"Multi-unit residential",72,35,1,1,0,3,0
2655,167485,"XI - Davao Region",86612,"Wage/Salaries","1",30500,5395,725,18840,10200,3576,43208,0,0,"Male",43,"Married","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",3,0,1,1,"Single house",39,23,3,1,0,1,0
2656,103734,"X - Northern Mindanao",59655,"Wage/Salaries","0",2400,4400,3280,10002,4800,5593,4802,0,0,"Male",37,"Married","High School Studies","With Job/Business","Secondary Sector","Worked for private establishment",6,2,2,1,"Single house",16,13,1,1,0,0,0
2657,78300,"VIII - Eastern Visayas",25949,"Other sources of Income","0",0,0,470,11520,9000,1856,5962,0,26560,"Female",73,"Widowed","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",1,0,0,0,"Single house",100,57,2,1,0,0,0
2658,199419,"III - Central Luzon",157619,"Other sources of Income","2",4495,0,9425,48474,24000,27103,6082,0,0,"Male",61,"Married","Elementary Studies","With Job/Business","Secondary Sector","Worked for private establishment",5,1,2,1,"Single house",100,13,3,1,0,4,2
2659,1480000,"NCR",392510,"Wage/Salaries","2",177200,1359,22625,209400,132000,139492,90460,0,0,"Female",59,"Married","Program Studies","No Job/Business","No Occupation","Unemployed",4,0,0,3,"Single house",430,25,3,1,2,5,0
2660,72559,"X - Northern Mindanao",38184,"Enterpreneurial Activities","1",1230,2640,3640,14850,7500,2800,3342,28280,31560,"Male",49,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,1,2,"Single house",18,31,2,1,0,1,0
2661,45248,"VII - Central Visayas",16981,"Other sources of Income","0",1000,0,1168,5454,3000,3847,2146,5234,10072,"Female",59,"Widowed","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",1,0,0,1,"Single house",40,18,1,1,0,1,0
2662,95620,"V - Bicol Region",66147,"Enterpreneurial Activities","1",0,705,2302,13026,6000,4038,3384,37340,37340,"Male",65,"Married","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,0,2,0,"Single house",49,35,2,0,0,1,0
2663,183978,"IX - Zasmboanga Peninsula",73319,"Other sources of Income","0",1006,0,3305,8478,3600,9570,14266,45800,45800,"Male",55,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",4,1,1,1,"Single house",20,3,0,1,0,3,1
2664,212011,"X - Northern Mindanao",88852,"Wage/Salaries","0",22240,1446,7623,24840,14400,12115,25790,0,26544,"Male",36,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,1,1,1,"Multi-unit residential",17,3,0,1,0,3,0
2665,152515,"XII - SOCCSKSARGEN",80291,"Other sources of Income","0",3600,660,2769,18978,9000,70872,14854,0,0,"Female",46,"Widowed","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",7,1,2,4,"Single house",36,22,3,1,0,4,0
2666,657745,"VII - Central Visayas",253363,"Other sources of Income","0",46375,0,27225,60234,18600,237022,31984,0,2700,"Male",49,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,0,2,"Duplex",150,20,2,1,0,3,1
2667,163113,"III - Central Luzon",45623,"Wage/Salaries","0",250,15040,980,32448,15000,7560,7810,0,70188,"Male",40,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",2,0,0,1,"Single house",160,32,3,1,0,2,0
2668,1011554,"NCR",182420,"Other sources of Income","2",60890,5650,8990,360570,216000,351049,51356,0,0,"Female",48,"Married","Program Studies","With Job/Business","Secondary Sector","Worked for private establishment",7,0,2,2,"Single house",200,17,6,1,3,6,0
2669,232908,"IVA - CALABARZON",50096,"Other sources of Income","0",36840,0,0,54600,36000,36436,6420,0,0,"Female",90,"Widowed","Program Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Single house",80,60,2,1,1,0,0
2670,85566,"VIII - Eastern Visayas",34582,"Enterpreneurial Activities","1",0,600,1225,12462,5400,8942,6442,34134,41634,"Male",57,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",2,0,0,1,"Single house",30,18,2,1,0,1,0
2671,93798,"I - Ilocos Region",28555,"Other sources of Income","0",2820,0,1920,15288,9000,1330,3740,0,12100,"Female",70,"Widowed","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,0,2,0,"Single house",90,19,2,1,0,2,0
2672,52549,"VII - Central Visayas",37921,"Enterpreneurial Activities","1",1470,535,735,7122,3600,6572,1992,28490,28490,"Male",30,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,2,0,"Single house",30,5,0,1,0,2,1
2673,154932,"II - Cagayan Valley",75186,"Enterpreneurial Activities","1",4700,11088,3040,21600,15000,9100,17898,77032,77032,"Male",64,"Married","High School Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",6,1,1,1,"Single house",48,35,1,1,0,2,0
2674,334680,"NCR",162385,"Wage/Salaries","0",40300,8322,6455,54120,0,41966,38090,0,0,"Male",22,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,1,2,"Single house",15,25,1,1,0,2,0
2675,192790,"VI - Western Visayas",90235,"Wage/Salaries","0",26330,170,7902,38256,24000,19580,6936,0,63586,"Male",37,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,1,1,"Single house",40,16,3,1,0,3,1
2676,504058,"X - Northern Mindanao",194636,"Wage/Salaries","0",18540,11045,30717,38040,9000,114747,53834,66980,115062,"Male",47,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",11,3,2,2,"Single house",60,17,4,1,0,5,1
2677,98768,"XI - Davao Region",41603,"Other sources of Income","0",0,2019,4245,11808,7800,5670,8028,0,0,"Male",63,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",3,0,0,1,"Single house",38,13,3,1,0,1,0
2678,269702,"CAR",27529,"Other sources of Income","0",0,0,280,26496,15000,503,164574,0,0,"Male",78,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",2,0,0,0,"Single house",40,6,2,1,0,1,0
2679,54820," ARMM",31559,"Enterpreneurial Activities","1",1170,0,905,8940,5400,1230,2960,47823,47823,"Male",31,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,1,1,0,"Single house",300,39,3,1,0,1,0
2680,809472,"V - Bicol Region",169130,"Wage/Salaries","0",34350,0,40539,259356,90000,97692,93796,72980,72980,"Male",45,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",3,0,1,2,"Single house",72,11,2,1,0,1,0
2681,336128,"CAR",77820,"Wage/Salaries","0",12700,2912,920,35580,18000,27540,53028,0,0,"Male",57,"Single","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",1,0,0,1,"Duplex",100,48,3,1,0,2,0
